TourAttraction,Big_col,Samll_col,Address,Local,Alien,Foreign,Total,Latitude,Longitude,category
고양 관광특구,휴양관광지,관광단지,경기도 > 고양시 일산서구,"11,483,416","9,980,863","56,079","10,036,941",37.6567441,126.7662508,인문
국제시장,쇼핑,상설시장,부산광역시 > 중구,"553,207","1,925,847","94,149","2,019,996",35.1015524,129.0282977,쇼핑
명동,체험관광지,이색거리,서울특별시 > 중구,"242,421","1,302,515","484,479","1,786,994",37.55998,126.9858296,인문
부여금사리성당,역사관광지,종교성지,충청남도 > 부여군,"3,502,167","1,737,575","8,066","1,745,641",36.2496638,126.7982173,인문
수원화성 관광특구,휴양관광지,관광단지,경기도 > 수원시 팔달구,"1,172,777","1,724,573","14,631","1,739,203",37.2885205,127.0139413,인문
울산 12경,자연관광지,산,울산광역시 > 남구,"2,887,864","1,483,713","3,588","1,487,301",35.4923951,129.4395603,자연
수내동가옥(이택구가옥),역사관광지,고택,경기도 > 성남시 분당구,"2,202,785","1,460,883","11,349","1,472,232",37.375301,127.1242928,인문
서면1번가,체험관광지,이색거리,부산광역시 > 부산진구,"668,479","1,392,255","36,074","1,428,329",35.1564181,129.0582271,인문
인사동,체험관광지,이색거리,서울특별시 > 종로구,"377,605","1,301,384","123,064","1,424,448",37.5716555,126.9862326,인문
홍대,체험관광지,이색거리,서울특별시 > 마포구,"335,143","1,219,999","195,618","1,415,616",37.5515814,126.9249751,인문
인계예술공원,휴양관광지,공원,경기도 > 수원시 팔달구,"520,933","1,331,778","27,186","1,358,964",37.258629,127.0359448,인문
탑골공원,휴양관광지,공원,서울특별시 > 종로구,"336,851","1,279,863","75,529","1,355,391",37.5711455,126.9883295,인문
일산호수공원,휴양관광지,공원,경기도 > 고양시 일산동구,"1,137,031","1,304,783","6,235","1,311,018",37.6567441,126.7662508,인문
서촌거리,체험관광지,이색거리,서울특별시 > 종로구,"357,291","1,215,162","90,347","1,305,509",37.57648,126.971465,인문
홍대 걷고싶은 거리,체험관광지,이색거리,서울특별시 > 마포구,"285,313","1,113,767","186,990","1,300,756",37.5555188,126.9237664,인문
바운스 트램폴린파크(대구신세계점),체험관광지,이색체험,대구광역시 > 동구,"417,333","1,282,964","7,135","1,290,098",35.8798753,128.6341383,인문
강화도,자연관광지,섬,인천광역시 > 강화군,"1,080,534","1,275,869","6,544","1,282,413",37.7131742,126.4511281,자연
국채보상운동기념공원,휴양관광지,공원,대구광역시 > 중구,"455,693","1,240,099","7,284","1,247,383",35.8688126,128.6021271,인문
안양 중앙공원,휴양관광지,공원,경기도 > 안양시 동안구,"1,169,798","1,220,412","2,721","1,223,132",37.3900749,126.9591246,인문
